id,organization_type,staff,population,reporting_year,total_scope_1,total_scope_2,total_scope_3
918,1,600.0,,2015.0,3873.0,2276.0,645.0
921,1,586.0,,2014.0,3420.0,1051.0,0.0
927,1,658.0,,2014.0,616.0,98.0,0.0
934,1,500.0,,2015.0,1383055.0,103207.0,0.0
939,1,1000.0,,2015.0,968.0,122.0,0.0
940,1,623.0,,2014.0,1443.0,335.0,393.0
944,1,2736.0,,2014.0,17950.0,2770.0,0.0
946,2,1500.0,,2015.0,4924.0,379.0,0.0
948,1,841.0,,2014.0,1103.0,706.0,535.0
949,1,663.0,,2014.0,4593.0,1040.0,1532.0
952,1,930.0,,2015.0,15.0,413.0,788.0
958,1,2300.0,,2014.0,4817.0,291.0,8356.0
959,1,672.0,,2014.0,855.0,1959.0,0.0
960,1,681.0,,2014.0,1148.0,441.0,0.0
961,1,878.0,,2014.0,20569.0,13795.0,0.0
964,1,8300.0,,2014.0,2146.0,0.0,0.0
965,1,10399.0,,2014.0,85592.0,145784.0,1766887.0
979,1,10000.0,,2015.0,7280.0,6966.0,0.0
988,1,860.0,,2015.0,12269.0,413.0,12346.0
996,2,5656.0,,2015.0,10270.0,1792.0,0.0
998,1,830.0,,2015.0,2386.0,464.0,0.0
999,1,799.0,,2012.0,13377.0,344.0,0.0
1001,1,829.0,,2014.0,12461.0,1983.0,0.0
1002,1,4122.0,,2015.0,17430.0,3925.0,7969271.0
1004,1,1471.0,,2014.0,0.0,497.0,0.0
1006,1,1362.0,,2015.0,28042.0,7313.0,743440.0
1011,3,1300.0,215000.0,2014.0,8338.0,1800.0,17851.0
1016,1,9275.0,,2014.0,144502.0,13292.0,0.0
1025,2,944.0,,2014.0,2977.0,135.0,0.0
1031,1,566.0,,2014.0,71256.0,14057.0,0.0
1036,2,1023.0,,2013.0,1886.0,281.0,637.0
1038,2,1080.0,,2014.0,1244.0,247.0,0.0
1039,1,6400.0,,2015.0,21383.0,6056.0,0.0
1041,2,272.0,,2014.0,45468.0,321.0,0.0
1042,1,2813.0,,2014.0,5097.0,6114.0,25024.0
1043,1,1000.0,,2014.0,5984.0,725.0,1389.0
1045,2,1000.0,,2015.0,805.0,2440.0,484.0
1046,1,8093.0,,2014.0,7954.0,2614.0,0.0
1048,1,573.0,,2014.0,1518.0,115.0,0.0
1049,1,811.0,,2014.0,93.0,94.0,0.0
1051,2,600.0,,2015.0,421.0,59.0,0.0
1053,2,49105.0,,2014.0,13763.0,23083.0,224566.0
1054,3,1520.0,143600.0,2014.0,3695.0,1812.0,28504.0
1062,1,159616.0,,2014.0,21794.0,21933.0,17514.0
1070,3,70.0,63700.0,2013.0,8546.0,23.0,5317.0
1078,1,595.0,,2014.0,1561.0,181.0,6719.0
1081,1,900.0,,2014.0,65.0,22.0,0.0
1088,1,1500.0,,2015.0,196.0,47.0,0.0
1094,1,739.0,,2014.0,10405.0,121.0,0.0
1095,1,710.0,,2015.0,1948.0,128.0,6913.0
1101,2,450.0,,2014.0,381.0,35.0,0.0
1102,1,1241.0,,2014.0,12390.0,166.0,0.0
1107,3,739.0,222500.0,2016.0,11597.0,2373.0,0.0
1114,3,2450.0,758723.0,2012.0,16416.0,1668.0,0.0
1115,5,2051.0,,2015.0,3794.0,963.0,664.0
1120,1,1414.0,,2014.0,469478.0,136034.0,155322.0
1124,2,422.0,,2015.0,16.0,2120.0,0.0
1127,3,1031.0,148208.0,2013.0,6242.0,2457.0,1803.0
1128,1,1300.0,,2014.0,297.0,10.0,0.0
1135,2,722.0,,2015.0,6700.0,991.0,0.0
1139,1,2605.0,,2014.0,8439.0,10250.0,0.0
1140,1,3040.0,,2014.0,35230.0,971.0,0.0
1142,1,1790.0,,2015.0,4902.0,6542.0,0.0
1146,1,598.0,,2014.0,7050.0,230.0,0.0
1152,2,1048.0,,2015.0,240.0,195.0,118.0
1156,1,519.0,,2015.0,308.0,26.0,0.0
1166,1,3350.0,,2015.0,6965.0,406.0,0.0
1168,1,570.0,,2014.0,959.0,172.0,13693.0
1169,1,600.0,,2014.0,34752.0,73470.0,0.0
1171,1,604.0,,2014.0,154.0,222.0,0.0
1178,1,1765.0,,2015.0,2702.0,355.0,7604.0
1189,2,1809.0,,2015.0,2711.0,581.0,692.0
1192,1,870.0,,2014.0,1912816.0,13119.0,0.0
1195,2,690.0,,2014.0,51165.0,15332.0,16552.0
1203,2,841.0,,2011.0,2229.0,412.0,0.0
1204,1,23404.0,,2014.0,38322.0,8736.0,0.0
1206,1,1024.0,,2014.0,1064.0,7.0,0.0
1220,1,3750.0,,2011.0,19413.0,1061.0,0.0
1221,2,411.0,,2014.0,1655.0,195.0,510.0
1222,3,18.0,53199.0,2014.0,20.0,22.0,8225.0
1223,1,740.0,,2016.0,29546.0,1288.0,0.0
1225,1,156.0,,2016.0,62.0,34.0,44070.0
1226,1,2101.0,,2015.0,4926.0,80.0,0.0
1229,1,1800.0,,2014.0,5438.0,659.0,0.0
1233,1,1064.0,,2014.0,4200.0,2178.0,0.0
1236,1,1052.0,,2014.0,119.0,56.0,6073.0
1240,2,2500.0,,2015.0,4799.0,368.0,0.0
1243,5,1000.0,,2015.0,1955.0,239.0,0.0
1244,2,506.0,,2015.0,1450.0,12.0,1825.0
1246,1,543.0,,2015.0,613.0,201.0,157.0
1248,1,800.0,,2015.0,3106.0,968.0,0.0
1254,1,2533.0,,2014.0,4715.0,2433.0,35269.0
1255,1,680.0,,2014.0,1472.0,797.0,1427.0
